Edition_Date	Edition_ID
2018-09-17	5388333
2018-09-03	5375736
2018-08-27	5368845
2018-08-20	5362156
2018-08-06	5349498
2018-07-30	5342739
2018-07-23	5336608
2018-07-09	5324700
2018-07-02	5318226
2018-06-25	5311954
2018-06-18	5304193
2018-06-11	5296633
2018-06-04	5286663
2018-05-28	5280431
2018-05-21	5272326
2018-05-14	5264136
2018-04-30	5246436
2018-04-23	5237427
2018-04-16	5228967
2018-04-09	5220076
2018-04-02	5210502
2018-03-19	5190956
2018-03-12	5180696
2018-03-05	5170229
2018-02-26	5159845
2018-02-19	5139093
2018-02-12	5128367
2018-02-05	5118021
2018-01-29	5107476
2018-01-22	5098401
2018-01-15	5087338
2017-12-25	5068494
2017-12-18	5055335
2017-12-11	5042684
2017-11-27	5027041
2017-11-20	5016709
2017-11-13	5006937
2017-11-06	4998244
2017-10-30	4989032
2017-10-23	4979222
2017-10-16	4970260
2017-10-09	4960617
2017-10-02	4951177
2017-09-25	4941004
2017-09-18	4931031
2017-09-04	4913681
2017-08-28	4904269
2017-08-21	4894983
2017-08-07	4876068
2017-07-31	4865953
2017-07-24	4856210
2017-07-10	4838670
2017-07-03	4828077
2017-06-26	4819553
2017-06-19	4810463
2017-06-12	4800789
2017-06-05	4793878
2017-05-29	4783906
2017-05-22	4775428
2017-05-15	4766607
2017-05-01	4748217
2017-04-24	4737943
2017-04-17	4728283
2017-04-10	4717998
2017-04-03	4710599
2017-03-27	4703292
2017-03-20	4696416
2017-03-13	4688204
2017-02-27	4672961
2017-02-20	4664984
2017-02-13	4657637
2017-02-06	4649884
2017-01-30	4642992
2017-01-23	4632652
2017-01-16	4623396
2016-12-26	4606046
2016-12-19	4594940
2016-12-12	4587715
2016-11-28	4574474
2016-11-21	4565955
2016-11-14	4556031
2016-11-07	4547305
2016-10-31	4540090
2016-10-24	4529382
2016-10-17	4520901
2016-10-10	4512760
2016-10-03	4503993
2016-09-26	4494746
2016-09-12	4475598
2016-09-05	4465719
2016-08-29	4457098
2016-08-22	4447970
2016-08-08	4428005
2016-08-01	4416656
2016-07-25	4405791
2016-07-11	4389070
2016-07-04	4379468
2016-06-27	4371171
2016-06-20	4358059
2016-06-13	4354737
2016-06-06	4348940
2016-05-30	4341384
2016-05-23	4327411
2016-05-16	4319109
2016-05-02	4302990
2016-04-25	4293545
2016-04-18	4284786
2016-04-11	4277492
2016-04-04	4270341
2016-03-28	4262476
2016-03-21	4253731
2016-03-14	4246074
2016-03-07	4236955
2016-02-22	4217023
2016-02-15	4207590
2016-02-08	4197759
2016-02-01	4188304
2016-01-25	4180259
2016-01-18	4170762
2015-12-28	4157532
2015-12-21	4144124
2015-12-14	4134359
2015-11-30	4119944
2015-11-23	4109841
2015-11-16	4101160
2015-11-09	4092345
2015-11-02	4082927
2015-10-26	4074544
2015-10-19	4065943
2015-10-12	4057277
2015-10-05	4047837
2015-09-28	4038076
2015-09-21	4028984
2015-09-07	4012820
2015-08-31	4004372
2015-08-24	3995775
2015-08-17	3986991
2015-08-03	3969230
2015-07-27	3960497
2015-07-20	3951146
2015-07-06	3935230
2015-06-29	3926026
2015-06-22	3917693
2015-06-15	3908624
2015-06-08	3899461
2015-06-01	3892034
2015-05-25	3858345
2015-05-18	3849941
2015-05-11	3841445
2015-04-27	3824746
2015-04-20	3814960
2015-04-13	3768599
2015-04-06	3759615
2015-03-30	3750518
2015-03-23	3741835
2015-03-16	3733110
2015-03-09	3723574
2015-02-23	3706680
2015-02-16	3696860
2015-02-09	3687285
2015-02-02	3678064
2015-01-26	3668759
2015-01-19	3659179
2014-12-29	3643773
2014-12-22	3629550
2014-12-15	3617654
2014-12-01	3596949
2014-11-24	3583115
2014-11-17	3560457
2014-11-10	3547811
2014-11-03	3533552
2014-10-27	3512654
2014-10-20	3483887
2014-10-13	3455607
2014-10-06	3429641
2014-09-29	3397061
2014-09-22	3326552
2014-09-08	3204241
2014-09-01	3153323
2014-08-25	3110821
2014-08-18	3062871
2014-08-04	3028040
2014-07-28	3000960
2014-07-21	2972309
2014-07-07	2926387
2014-06-30	2899479
2014-06-23	2863200
2014-06-16	2826271
2014-06-09	135460
2014-06-02	108686
2014-05-26	100540
2014-05-19	92064
2014-05-05	75229
2014-04-28	66258
2014-04-21	57155
2014-04-14	47983
2014-04-07	39850
2014-03-31	31898
2014-03-24	22980
2014-03-17	13800
2014-03-10	10209
2014-03-03	8683
2014-02-24	7047
2014-02-17	4789
2014-02-10	2848
2014-02-03	1543
2014-01-27	906
2014-01-20	4232
2014-01-13	60
